"dataset_id"	"dataset_titulo"	"estado_id"	"municipio_id"	"observacao_id"	"data_coleta_dia"	"data_coleta_mes"	"data_coleta_ano"
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Ituporanga"	"E.004*"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Itapiranga"	"E.005"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Maravilha"	"E.006*"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Maravilha"	"E.007*"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Palmitos"	"E.008"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"São José do Cedro"	"E.009"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"São Miguel d’Oeste"	"E.010*"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Romelândia"	"E.011"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Campo Erê"	"E.012"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Maravilha"	"E.013"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Saudades"	"E.015"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Seara"	"E.016"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Itá"	"E.017"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Chapecó"	"E.018"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Chapecó"	"E.019*"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Quilombo"	"E.021"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"São Lourenço do Oeste"	"E.022"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Xanxerê"	"E.023"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Abelardo Luz"	"E.024"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Abelardo Luz"	"E.025"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Abelardo Luz"	"E.026"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Abelardo Luz"	"E.027"	NA	NA	NA
