id,carbono_estoque_g.m2,data_coleta_ano,coord_x,coord_y,espessura,FOREST,NONFOREST,PASTURE,AGRICULTURE,FORESTRY,NONVEGETATION,data_coleta_ano
ctb0003-sm-dnos-117,2180,2009,-53.814701,-29.649635,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
ctb0003-sm-dnos-118,6623,2009,-53.81388,-29.647975,17.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-119,6336,2009,-53.814177,-29.646382,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-120,2891,2009,-53.814058,-29.644258,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-121,5403,2009,-53.812037,-29.643926,15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-122,1521,2009,-53.810899,-29.641713,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-123,5098,2009,-53.803386,-29.649988,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-124,2243,2009,-53.80643,-29.649006,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-125,1539,2009,-53.808957,-29.648853,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-126,2394,2009,-53.811243,-29.649264,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-127,1620,2009,-53.811811,-29.647241,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-128,1195,2009,-53.808963,-29.64702,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-129,1584,2009,-53.806336,-29.647018,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-130,1480,2009,-53.804158,-29.647128,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-131,1566,2009,-53.805031,-29.643413,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-132,2770,2009,-53.804305,-29.645335,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-133,1566,2009,-53.80691,-29.644425,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-134,3475,2009,-53.809659,-29.64505,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-135,3683,2009,-53.812042,-29.645162,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-136,5148,2009,-53.814595,-29.641137,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
ctb0003-sm-dnos-137,2462,2009,-53.814757,-29.642793,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-138,2563,2009,-53.809797,-29.642767,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-139,2932,2009,-53.806685,-29.641557,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-140,4996,2009,-53.787549,-29.641442,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-141,1966,2009,-53.790576,-29.642679,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-142,4043,2009,-53.788381,-29.63922,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-143,6863,2009,-53.786019,-29.637508,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-144,5462,2009,-53.788554,-29.637093,17.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-145,6082,2009,-53.785555,-29.634745,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
