"id","carbono_estoque_kgm2","data_coleta_ano","coord_x","coord_y"
"ctb0003-sm-dnos-222",6.6,2009,-53.813449,-29.619463
"ctb0003-sm-dnos-223",6.03,2009,-53.809642,-29.617424
"ctb0003-sm-dnos-224",7.87,2009,-53.81223,-29.610305
"ctb0003-sm-dnos-225",7.13,2009,-53.809643,-29.613359
"ctb0003-sm-dnos-226",8.94,2009,-53.80738,-29.615494
"ctb0003-sm-dnos-227",1.96,2009,-53.817121,-29.624174
"ctb0003-sm-dnos-228",1.23,2009,-53.815956,-29.626721
"ctb0003-sm-dnos-229",4.43,2009,-53.814091,-29.629407
"ctb0003-sm-dnos-230",2.84,2009,-53.81169,-29.631197
"ctb0003-sm-dnos-231",3.87,2009,-53.813642,-29.63279
"ctb0003-sm-dnos-232",7.37,2009,-53.820196,-29.623587
"ctb0003-sm-dnos-233",2.6,2009,-53.818971,-29.626035
"ctb0003-sm-dnos-234",5.76,2009,-53.818497,-29.628662
"ctb0003-sm-dnos-235",5.06,2009,-53.816122,-29.630581
"ctb0003-sm-dnos-236",5.4,2009,-53.816982,-29.633061
"ctb0003-sm-dnos-237",7.81,2009,-53.813183,-29.638562
"ctb0003-sm-dnos-238",5.47,2009,-53.814983,-29.638336
"ctb0003-sm-dnos-239",5.4,2009,-53.814512,-29.635772
"ctb0003-sm-dnos-240",6.19,2009,-53.817575,-29.636101
"ctb0003-sm-dnos-241",2.58,2009,-53.817617,-29.639731
"ctb0003-sm-dnos-242",4.02,2009,-53.821581,-29.64418
"ctb0003-sm-dnos-243",0.69,2009,-53.816667,-29.643214
"ctb0003-sm-dnos-244",3.85,2009,-53.811389,-29.633871
"ctb0003-sm-dnos-245",2.56,2009,-53.810934,-29.63668
"ctb0003-sm-dnos-246",1.51,2009,-53.807824,-29.635346
"ctb0003-sm-dnos-247",4.33,2009,-53.805437,-29.635722
"ctb0003-sm-dnos-248",1.64,2009,-53.810392,-29.639428
"ctb0003-sm-dnos-249",5.26,2009,-53.806943,-29.61889
"ctb0003-sm-dnos-250",5.03,2009,-53.800208,-29.615565
"ctb0003-sm-dnos-251",3.89,2009,-53.804678,-29.617042
"ctb0003-sm-dnos-252",7.11,2009,-53.808918,-29.611013
"ctb0003-sm-dnos-253",7.11,2009,-53.814113,-29.608149
"ctb0003-sm-dnos-254",6.12,2009,-53.811593,-29.607023
"ctb0003-sm-dnos-255",4.8,2009,-53.809653,-29.608535
"ctb0003-sm-dnos-256",6.46,2009,-53.803377,-29.614425
"ctb0003-sm-dnos-257",4.96,2009,-53.802224,-29.611576
"ctb0003-sm-dnos-258",4.33,2009,-53.811102,-29.622458
"ctb0003-sm-dnos-259",6.51,2009,-53.802164,-29.606817
"ctb0003-sm-dnos-260",7.15,2009,-53.80344,-29.608928
